url,title,type,hub,cluster,secondary,words,inbound,outbound,faqs,intent,flags
/health/refusing-to-eat,"Why Is My Axolotl Refusing to Eat? 12 Causes, Timeline and When to Worry",article,health,health,diet|tank-setup,3347,11,25,17,informational,
/health/salt-bath,Axolotl Salt Baths: Treating Fungal Infections Safely,article,health,health,,2277,3,25,9,informational,
/health/shrinking-gills,The Causes of Shrinking Axolotl Gills,article,health,health,cost-buying|tank-setup,1076,2,26,6,informational,
/health/stress-signs,Axolotl Stress Signs,article,health,health,diet,576,2,27,0,informational,thin|no-faq
/health/why-axolotl-floating,Why Is My Axolotl Floating? Causes and Treatment,article,health,health,,1588,3,25,7,informational,
/legal/california,Are Axolotls Legal in California?,article,legal,legal,,726,7,27,0,commercial,no-faq
/legal/canada,Are Axolotls Legal in Canada?,article,legal,legal,cost-buying,652,5,27,0,commercial,thin|no-faq
/legal/hawaii,Are Axolotls Legal in Hawaii?,article,legal,legal,,557,2,26,0,commercial,thin|no-faq
/legal/maine,Are Axolotls Legal in Maine?,article,legal,legal,,598,5,27,0,commercial,thin|no-faq
/legal/new-jersey,Are Axolotls Legal in New Jersey?,article,legal,legal,,991,3,26,4,commercial,
/legal/new-mexico,Are Axolotls Legal in New Mexico?,article,legal,legal,,951,2,26,4,commercial,
/legal/virginia,Are Axolotls Legal in Virginia?,article,legal,legal,,927,6,27,5,commercial,
/morphs/blue-and-pink-axolotl-myth,Blue and Pink Axolotl Myth,article,morphs,morphs,cost-buying,512,2,26,3,informational,thin
/morphs/chimera,Chimera Axolotl: The Rarest Morph of All,article,morphs,morphs,,818,6,27,0,informational,no-faq
/morphs/copper,Copper Axolotl,article,morphs,morphs,health,558,2,27,4,informational,thin
/morphs/enigma-firefly-mac,"Enigma, MAC and Firefly Axolotls",article,morphs,morphs,health,618,3,26,4,informational,thin
/morphs/gfp-axolotl,GFP Axolotl: The Glowing Morph,article,morphs,morphs,health,566,2,25,4,informational,thin
/morphs/golden-albino,Golden Albino Axolotl,article,morphs,morphs,,535,3,26,4,informational,thin
/morphs/leucistic,"Leucistic Axolotl: The ""Lucy"" Morph",article,morphs,morphs,health,611,10,29,4,informational,thin
/morphs/melanoid,Melanoid Axolotl: The Dark Morph,article,morphs,morphs,,626,3,26,4,informational,thin
/morphs/morphs-comparison-chart,Axolotl Morphs Comparison Chart,article,morphs,morphs,,466,3,26,0,commercial-investigation,thin|no-faq
/morphs/mosaic,Mosaic Axolotl,article,morphs,morphs,,588,2,26,0,informational,thin|no-faq
/morphs/piebald,Piebald Axolotl: The Patchy Morph,article,morphs,morphs,,587,2,27,4,informational,thin
/morphs/pigment-cells,Understanding Axolotl Pigment Cells,article,morphs,morphs,,588,4,27,4,informational,thin
/morphs/wild-type,Wild Type Axolotl: The Natural Color,article,morphs,morphs,,881,9,27,0,informational,no-faq
/tank-setup/acclimating-a-new-axolotl,How to Acclimate a New Axolotl,article,tank-setup,tank-setup,,639,2,26,0,informational,thin|no-faq
/tank-setup/aquarium-chillers,Best Aquarium Chillers for Axolotls,article,tank-setup,tank-setup,,2699,5,25,4,commercial-investigation,
/tank-setup/canister-vs-sponge-filter,Canister Filters vs. Sponge Filters for Axolotls,article,tank-setup,tank-setup,,6117,2,25,11,informational,
/tank-setup/filtration-for-axolotls,"Best Filter for Axolotl Tanks: Types, Sizing & Top Picks",article,tank-setup,tank-setup,,4274,4,25,6,commercial-investigation,
/tank-setup/gravel-risks,The Dangers of Sharp Gravel for Axolotls,article,tank-setup,tank-setup,,2647,3,25,7,informational,
/tank-setup/hides-and-caves,Best Hides and Caves for Axolotls,article,tank-setup,tank-setup,,4355,3,25,11,commercial-investigation,
/tank-setup/lighting-for-axolotls,Axolotl Tank Lighting Requirements,article,tank-setup,tank-setup,,4075,4,25,9,informational,
/tank-setup/live-vs-artificial-plants,Live Plants vs. Fake Plants for Axolotl Tanks,article,tank-setup,tank-setup,,3125,3,25,10,informational,meta-short
/tank-setup/setup-guide,How to Set Up an Axolotl Tank the Right Way,article,tank-setup,tank-setup,cost-buying,2869,9,27,5,informational,meta-short
/tank-setup/substrate-and-impaction,Choosing the Best Axolotl Substrate,article,tank-setup,tank-setup,,4029,5,25,9,commercial-investigation,
/tank-setup/tank-mates,Can Axolotls Live with Fish?,article,tank-setup,tank-setup,,601,2,26,0,informational,thin|no-faq
/tank-setup/tank-size-by-age,Axolotl Tank Size by Age,article,tank-setup,tank-setup,breeding,500,3,27,0,informational,thin|no-faq
/tank-setup/temperature,How to Keep an Axolotl Tank Cool,article,tank-setup,tank-setup,,5826,5,25,10,informational,
/tank-setup/uneaten-food-and-ammonia,Why Uneaten Food Causes Ammonia in an Axolotl Tank,article,tank-setup,tank-setup,diet,2449,3,25,3,informational,
/tank-setup/water-conditioners,Axolotl Water Conditioner: Creating Safe Water,article,tank-setup,tank-setup,,4417,3,28,6,informational,
/tank-setup/water-parameters-cycling,Managing Ammonia and Nitrate Spikes in Axolotl Tanks,article,tank-setup,tank-setup,,4924,15,25,0,informational,no-faq
/tank-setup/why-tank-water-smells,Why Does My Axolotl Tank Water Stink?,article,tank-setup,tank-setup,cost-buying,2074,2,25,8,informational,
/tools/feeding-schedule-generator,Axolotl Feeding Schedule Generator,tool,tools,tools,care-basics,0,125,1,0,trans,no-meta
/tools/nitrogen-cycle-tracker,Axolotl nitrogen cycle tracker,tool,tools,tools,tank-setup,0,125,2,6,trans,meta-too-long
/tools/symptom-checker,Axolotl Symptom Checker,tool,tools,tools,,0,125,1,0,trans,no-meta
/tools/tank-size-calculator,Axolotl Tank Size Calculator,tool,tools,tools,tank-setup,0,125,1,0,trans,no-meta
/tools/water-conditioner-dosage-calculator,Axolotl Water Conditioner  Dosage Calculator,tool,tools,tools,tank-setup,0,125,0,0,trans,meta-too-long
