url,cluster,tier,entity,attribute,intent,page_role,completeness_class,has_action,notes
/morphs/mosaic,morphs,3,morph,mosaic-morph,informational,article,partial,no,588w; chimney-diff content
/morphs/piebald,morphs,3,morph,piebald-morph,informational,article,partial,no,587w
/tank-setup/acclimating-a-new-axolotl,tank-setup,3,tank-system,acclimation,procedural,article,partial,yes,639w; drip method; links quarantine-tub
/tank-setup/canister-vs-sponge-filter,tank-setup,3,tank-system,filter-comparison,comparative,guide,canonical,no,6117w; overlaps filtration-for-axolotls
/tank-setup/gravel-risks,tank-setup,3,tank-system,gravel-danger,troubleshooting,guide,canonical,no,2647w; impaction chain; substrate alternative links
/tank-setup/hides-and-caves,tank-setup,3,tank-system,decor-hides,informational,guide,canonical,no,4355w; stress-reduction chain
/tank-setup/live-vs-artificial-plants,tank-setup,3,tank-system,plants,comparative,guide,canonical,no,3125w; softness-first reasoning
/tank-setup/tank-mates,tank-setup,3,tank-system,tank-mates,informational,article,partial,no,601w; honest 'mostly no' verdict
/tank-setup/uneaten-food-and-ammonia,tank-setup,3,tank-system,ammonia-source,troubleshooting,guide,solid,no,2449w; feeding↔water link
/tank-setup/why-tank-water-smells,tank-setup,3,tank-system,odor-diagnostics,troubleshooting,guide,solid,no,2074w; smell→cause map
/tools/feeding-schedule-generator,tools,3,tools,calculator,reference,calculator,interactive,no,
/tools/nitrogen-cycle-tracker,tools,3,tools,calculator,reference,calculator,interactive,no,
/tools/symptom-checker,tools,3,tools,calculator,reference,calculator,interactive,no,
/tools/tank-size-calculator,tools,3,tools,calculator,reference,calculator,interactive,no,
/tools/water-conditioner-dosage-calculator,tools,3,tools,calculator,reference,calculator,interactive,no,
