url,cluster,border,primary_intent,words,content_in,in_bound_content,out_bound_content,cross_cluster_out
/health/why-axolotl-floating,health,CORE,diagnostic,1588,3,3,2,1
/legal,legal,OUTER,navigational,None,124,0,7,0
/legal/california,legal,OUTER,location-specific,726,7,7,4,1
/legal/canada,legal,OUTER,location-specific,652,5,5,4,1
/legal/hawaii,legal,OUTER,location-specific,557,2,2,3,0
/legal/maine,legal,OUTER,location-specific,598,5,5,4,0
/legal/new-jersey,legal,OUTER,location-specific,991,3,3,3,0
/legal/new-mexico,legal,OUTER,location-specific,951,2,2,3,0
/legal/virginia,legal,OUTER,location-specific,927,6,6,4,0
/morphs,morphs,ADJACENT,navigational,None,124,0,13,0
/morphs/blue-and-pink-axolotl-myth,morphs,ADJACENT,definitional,512,2,2,3,0
/morphs/chimera,morphs,ADJACENT,definitional,818,6,6,4,1
/morphs/copper,morphs,ADJACENT,definitional,558,2,2,4,3
/morphs/enigma-firefly-mac,morphs,ADJACENT,definitional,618,3,3,3,0
/morphs/gfp-axolotl,morphs,ADJACENT,definitional,566,2,2,2,0
/morphs/golden-albino,morphs,ADJACENT,definitional,535,3,3,3,1
/morphs/leucistic,morphs,ADJACENT,definitional,611,10,10,6,2
/morphs/melanoid,morphs,ADJACENT,definitional,626,3,3,3,0
/morphs/morphs-comparison-chart,morphs,ADJACENT,comparative,466,3,3,3,1
/morphs/mosaic,morphs,ADJACENT,definitional,588,2,2,3,0
/morphs/piebald,morphs,ADJACENT,definitional,587,2,2,4,1
/morphs/pigment-cells,morphs,ADJACENT,informational,588,4,4,4,1
/morphs/wild-type,morphs,ADJACENT,definitional,881,9,9,4,2
/privacy,meta,FUNCTIONAL,navigational,None,124,0,0,0
/search,meta,FUNCTIONAL,tool/calculator,None,124,0,0,0
/tank-setup,tank-setup,CORE,navigational,None,125,0,17,0
/tank-setup/acclimating-a-new-axolotl,tank-setup,CORE,procedural,639,2,2,3,1
/tank-setup/aquarium-chillers,tank-setup,PERIPHERAL,comparative,2699,5,5,2,0
/tank-setup/canister-vs-sponge-filter,tank-setup,CORE,comparative,6117,2,2,2,0
/tank-setup/filtration-for-axolotls,tank-setup,CORE,comparative,4274,4,4,2,0
/tank-setup/gravel-risks,tank-setup,CORE,problem-solving,2647,3,3,2,0
/tank-setup/hides-and-caves,tank-setup,PERIPHERAL,comparative,4355,3,3,2,0
/tank-setup/lighting-for-axolotls,tank-setup,CORE,informational,4075,4,4,2,0
/tank-setup/live-vs-artificial-plants,tank-setup,PERIPHERAL,comparative,3125,3,3,2,0
/tank-setup/setup-guide,tank-setup,CORE,procedural,2869,9,9,4,0
/tank-setup/substrate-and-impaction,tank-setup,CORE,informational,4029,5,5,2,1
/tank-setup/tank-mates,tank-setup,CORE,informational,601,2,2,3,2
/tank-setup/tank-size-by-age,tank-setup,CORE,definitional,500,3,4,4,1
/tank-setup/temperature,tank-setup,CORE,procedural,5826,5,5,2,1
/tank-setup/uneaten-food-and-ammonia,tank-setup,CORE,problem-solving,2449,3,3,2,1
/tank-setup/water-conditioners,tank-setup,CORE,procedural,4417,3,4,5,0
/tank-setup/water-parameters-cycling,tank-setup,CORE,informational,4924,15,16,2,0
/tank-setup/why-tank-water-smells,tank-setup,CORE,problem-solving,2074,2,2,2,0
/tools,tools,FUNCTIONAL,tool/calculator,None,124,0,0,0
/tools/feeding-schedule-generator,tools,OUTER,tool/calculator,None,125,0,2,2
/tools/nitrogen-cycle-tracker,tools,OUTER,tool/calculator,None,125,0,1,1
/tools/symptom-checker,tools,OUTER,tool/calculator,None,125,0,3,3
/tools/tank-size-calculator,tools,OUTER,tool/calculator,None,125,0,2,2
/tools/water-conditioner-dosage-calculator,tools,OUTER,tool/calculator,None,125,0,1,1
