FromSlug,ToSlug,RelationType,Kind,Reason,ExpectedEffect
tank-setup/canister-vs-sponge-filter,tank-setup/filtration-for-axolotls,general -> specific,existing rail + callout,"decision page points back to principles","differentiates the paired pages"
biology-and-science/regeneration-and-limb-regrowth,health/limb-regeneration,biology -> practical,existing rail + callout,"science lane -> owner lane","clears role split"
health/limb-regeneration,biology-and-science/regeneration-and-limb-regrowth,biology -> practical,existing rail + callout,"owner lane -> science lane","clears role split"
care-basics/are-axolotls-good-beginner-pets,care-basics/cost-of-ownership-monthly,parent -> child,callout,"beginner commitment page defers cost to owner","dedupes cost passages"
care-basics/axolotls-and-children,care-basics/cost-of-ownership-monthly,parent -> child,callout,"children page defers cost to owner","dedupes cost passages"
tank-setup/water-change-guide,tank-setup/water-parameters-cycling,prerequisite -> procedure,in-body link,"procedure prerequisite: chemistry tested","threads prerequisite knowledge"
tank-setup/water-change-guide,tank-setup/water-conditioners,prerequisite -> procedure,in-body link,"procedure prerequisite: dechlorinate","threads prerequisite knowledge"
tank-setup/water-change-guide,tank-setup/why-tank-water-smells,problem -> solution,in-body link,"smell=water-change trigger","connects symptom to the action"
tank-setup/water-change-guide,tank-setup/uneaten-food-and-ammonia,problem -> solution,in-body link,"uneaten food drives ammonia -> changes","connects symptom to the action"
tank-setup/water-change-guide,tank-setup/temperature,prerequisite -> procedure,in-body link,"temp matching during change","threads prerequisite knowledge"
tank-setup/water-change-guide,tank-setup/setup-guide,parent -> child,rail,"sibling in tank-setup hub","navigation/uptiering"
tank-setup/water-change-guide,health/emergency-first-aid,problem -> solution,callout,"extreme water crises escalate to emergency","cross-cluster emergency bridge"
health/emergency-first-aid,health/finding-an-exotic-vet,problem -> solution,rail + callout,"when to escalate to a vet now","decision funnel"
health/emergency-first-aid,health/refusing-to-eat,symptom -> cause,in-body link,"appetite loss as an emergency flag","emergency mini-guide routes to diagnosis"
health/emergency-first-aid,health/red-leg-syndrome,symptom -> cause,in-body link,"red leg = urgent sign","emergency mini-guide routes to diagnosis"
health/emergency-first-aid,health/ammonia-burns,symptom -> cause,in-body link,"ammonia burn = urgent environment crisis","emergency mini-guide routes to diagnosis"
health/emergency-first-aid,health/why-axolotl-floating,symptom -> cause,in-body link,"floating can be urgent","emergency mini-guide routes to diagnosis"
health/emergency-first-aid,health/fungal-infections-saprolegnia,symptom -> cause,in-body link,"rampant fungus = urgent","emergency mini-guide routes to diagnosis"
health/emergency-first-aid,health/fridging-sick-axolotl,problem -> solution,in-body link,"post-stabilization care option","emergency aftercare"
health/finding-an-exotic-vet,health/emergency-first-aid,problem -> solution,rail + callout,"vet page gives the emergency ladder","decision funnel (reciprocal)"
cost-and-buying/shipping-live-axolotls,tank-setup/acclimating-a-new-axolotl,prerequisite -> procedure,rail,"arrival -> acclimation (buying->tank bridge)","semantic bridge; closes dead-end out flow"
tank-setup/acclimating-a-new-axolotl,cost-and-buying/shipping-live-axolotls,prerequisite -> procedure,rail,"reciprocal for arrivals from shipping","semantic bridge; reciprocity"
health/finding-an-exotic-vet,health/red-leg-syndrome,problem -> solution,existing rail kept (verify),"immediate escalation from red leg","keeps vet thread"
tank-setup/water-change-guide,tools/water-conditioner-dosage-calculator,concept -> tool,snippet (already exists via tool index,"dose when treating fresh water","tool discoverability"
/health/emergency-first-aid,/health/finding-an-exotic-vet,problem -> solution,related rail (automatic via LINKING),n/a,n/a
