url	title	cluster	role	primary_intent	primary_attribute	border	words	content_in	primary_entity	key_relationships
/cost-and-buying	Axolotl Cost: Price, Monthly Budget & Where to Buy (2026)	cost-and-buying	hub	navigational	cost	OUTER	None	124	Axolotl (as purchase)	/cost-and-buying/axolotl-price-by-morph; /cost-and-buying/breeder-vs-pet-store; /cost-and-buying/choosing-a-reputable-breeder; /cost-and-buying/how-to-choose-a-healthy-axolotl; /cost-and-buying/red-flags-when-buying; /cost-and-buying/shipping-live-axolotls
/cost-and-buying/axolotl-price-by-morph	Axolotl Price by Morph: Cost Guide for Every Color (2026)	cost-and-buying	transactional	transactional	cost	OUTER	544	6	Axolotl (as purchase)	/care-basics/cost-of-ownership-monthly; /morphs/leucistic; /morphs/wild-type
/cost-and-buying/breeder-vs-pet-store	Axolotl Breeder vs Pet Store: Where to Buy (2026)	cost-and-buying	comparative	comparative	source	OUTER	502	4	Axolotl (as purchase)	/cost-and-buying/choosing-a-reputable-breeder; /cost-and-buying/shipping-live-axolotls
/cost-and-buying/choosing-a-reputable-breeder	How to Choose an Axolotl Breeder: 12 Questions to Ask	cost-and-buying	transactional	transactional	source	OUTER	670	4	Axolotl (as purchase)	/cost-and-buying/breeder-vs-pet-store; /cost-and-buying/red-flags-when-buying
/cost-and-buying/how-to-choose-a-healthy-axolotl	How to Choose a Healthy Axolotl: Signs to Check Before Buying	cost-and-buying	procedural	procedural	source	OUTER	549	4	Axolotl (as purchase)	/cost-and-buying/choosing-a-reputable-breeder; /cost-and-buying/red-flags-when-buying
/cost-and-buying/red-flags-when-buying	Axolotl Seller Red Flags: How to Spot Scams and Bad Breeders	cost-and-buying	transactional	transactional	source	OUTER	552	3	Axolotl (as purchase)	/cost-and-buying/choosing-a-reputable-breeder; /cost-and-buying/how-to-choose-a-healthy-axolotl
/cost-and-buying/shipping-live-axolotls	How Are Axolotls Shipped: What to Expect	cost-and-buying	procedural	procedural	shipping	OUTER	524	2	Axolotl (as purchase)	/cost-and-buying/breeder-vs-pet-store; /cost-and-buying/how-to-choose-a-healthy-axolotl
/diet	Axolotl Food: What to Feed & How Often	diet	hub	navigational	diet	CORE	None	124	Axolotl diet	/diet/axolotl-pellets; /diet/beef-heart; /diet/best-foods-list; /diet/blackworms-for-juveniles; /diet/fasting-and-vacation; /diet/feeder-fish-risks; /diet/feeding-schedule-by-age; /diet/how-to-hand-feed; /diet/live-vs-frozen-food; /diet/overfeeding-and-impaction; /diet/shrimp-for-axolotls; /diet/vitamin-and-supplement-needs
/diet/axolotl-pellets	Best Axolotl Pellets and Commercial Foods | Axolotl Care Guide	diet	comparative	comparative	food	CORE	2956	2	Axolotl diet	/diet/best-foods-list; /diet/live-vs-frozen-food
/diet/beef-heart	Can Axolotls Eat Beef Heart? | Axolotl Care Guide	diet	explanatory	definitional	food	CORE	1585	2	Axolotl diet	/diet/feeder-fish-risks; /diet/overfeeding-and-impaction
/diet/best-foods-list	What Do Axolotls Eat? The Complete Diet… | Axolotl Care Guide	diet	explanatory	informational	food	CORE	3041	8	Axolotl diet	/diet/axolotl-pellets; /diet/feeding-schedule-by-age; /diet/how-to-hand-feed; /diet/live-vs-frozen-food
/diet/blackworms-for-juveniles	Preparing Blackworms for Juvenile Axolotls | Axolotl Care Guide	diet	procedural	procedural	food	OUTER	1380	2	Axolotl diet	/diet/feeding-schedule-by-age; /diet/overfeeding-and-impaction
/diet/fasting-and-vacation	How Long Can Axolotls Fast? | Axolotl Care Guide	diet	procedural	procedural	feeding	OUTER	2457	2	Axolotl diet	/diet/blackworms-for-juveniles; /diet/feeding-schedule-by-age
/diet/feeder-fish-risks	The Risks of Feeding Feeder Fish to… | Axolotl Care Guide	diet	explanatory	problem-solving	food	CORE	3702	5	Axolotl diet	/diet/beef-heart; /diet/live-vs-frozen-food
/diet/feeding-schedule-by-age	Axolotl Feeding Frequency by Life Stage… | Axolotl Care Guide	diet	procedural	procedural	feeding	CORE	1763	8	Axolotl diet	/diet/best-foods-list; /diet/overfeeding-and-impaction
/diet/how-to-hand-feed	How to Hand Feed Your Axolotl Safely | Axolotl Care Guide	diet	procedural	procedural	feeding	CORE	2442	2	Axolotl diet	/diet/best-foods-list; /diet/fasting-and-vacation
/diet/live-vs-frozen-food	Earthworms vs. Bloodworms: Which Is… | Axolotl Care Guide	diet	comparative	comparative	food	CORE	2493	5	Axolotl diet	/diet/best-foods-list; /diet/feeder-fish-risks
/diet/overfeeding-and-impaction	Axolotl Obesity: Signs, Causes… | Axolotl Care Guide	diet	diagnostic	problem-solving	feeding	CORE	2891	6	Axolotl diet	/diet/feeding-schedule-by-age; /health/refusing-to-eat
/diet/shrimp-for-axolotls	Can Axolotls Eat Shrimp? | Axolotl Care Guide	diet	explanatory	definitional	food	CORE	2209	2	Axolotl diet	/diet/best-foods-list; /diet/feeder-fish-risks
/diet/vitamin-and-supplement-needs	Do Axolotls Need Vitamin Supplements? A… | Axolotl Care Guide	diet	explanatory	informational	nutrition	CORE	1023	2	Axolotl diet	/diet/best-foods-list; /diet/shrimp-for-axolotls
/gifts-and-merch	Axolotl Toy & Gifts: Plushies, Squishmallows, Apparel & More	gifts-and-merch	hub	navigational	merch	PERIPHERAL	None	124	Axolotl merchandise	/gifts-and-merch/axolotl-squishmallow-guide; /gifts-and-merch/best-axolotl-lego-sets; /gifts-and-merch/best-axolotl-toys-and-plushies; /gifts-and-merch/build-a-bear-axolotl-guide
/gifts-and-merch/axolotl-squishmallow-guide	Every Axolotl Squishmallow: Archie, Sizes & How to Buy	gifts-and-merch	transactional	transactional	merch	PERIPHERAL	807	4	Axolotl merchandise	/gifts-and-merch/best-axolotl-toys-and-plushies; /gifts-and-merch/build-a-bear-axolotl-guide
/gifts-and-merch/best-axolotl-lego-sets	LEGO Axolotl Sets: Minecraft The Axolotl House Explained	gifts-and-merch	transactional	transactional	merch	PERIPHERAL	610	2	Axolotl merchandise	/axolotl-in-culture/minecraft-axolotls-guide; /gifts-and-merch/best-axolotl-toys-and-plushies
/gifts-and-merch/best-axolotl-toys-and-plushies	Best Axolotl Toys & Plushies: Stuffed Animals & More (2026)	gifts-and-merch	transactional	transactional	merch	PERIPHERAL	979	5	Axolotl merchandise	/gifts-and-merch/axolotl-squishmallow-guide; /gifts-and-merch/best-axolotl-lego-sets; /gifts-and-merch/build-a-bear-axolotl-guide
/gifts-and-merch/build-a-bear-axolotl-guide	Build-A-Bear Axolotl: Every Model, Price & How to Customize	gifts-and-merch	transactional	transactional	merch	PERIPHERAL	653	3	Axolotl merchandise	/gifts-and-merch/axolotl-squishmallow-guide; /gifts-and-merch/best-axolotl-toys-and-plushies
/health	Axolotl Health Problems: Symptoms & Treatment	health	hub	navigational	health	CORE	None	124	Axolotl health	/health/ammonia-burns; /health/black-tea-bath; /health/curled-gills-stress-signal; /health/finding-an-exotic-vet; /health/fridging-sick-axolotl; /health/fungal-infections-saprolegnia; /health/impaction-symptoms-treatment; /health/limb-regeneration; /health/malnutrition-signs; /health/minor-scrapes-and-wounds; /health/parasite-treatment; /health/quarantine-tub; /health/red-leg-syndrome; /health/refusing-to-eat; /health/salt-bath; /health/shrinking-gills; /health/stress-signs; /health/why-axolotl-floating
/health/ammonia-burns	Axolotl Ammonia Burn: Signs, Stages & Treatment	health	diagnostic	diagnostic	gill/skin damage	CORE	951	2	Axolotl health	/health/curled-gills-stress-signal; /health/quarantine-tub; /tank-setup/water-parameters-cycling
/health/black-tea-bath	Black Tea Bath for Axolotls… | Axolotl Care Guide	health	procedural	procedural	treatment	CORE	2657	4	Axolotl health	/health/fridging-sick-axolotl; /health/fungal-infections-saprolegnia
/health/curled-gills-stress-signal	Curled Axolotl Gills & Tail Tip: Stress Signals & Fixes	health	diagnostic	diagnostic	gill posture	CORE	1061	5	Axolotl health	/health/ammonia-burns; /health/shrinking-gills; /health/stress-signs; /tank-setup/water-parameters-cycling
/health/finding-an-exotic-vet	How to Find an Axolotl Vet: What to Look For & How Much It Costs	health	transactional	transactional	veterinary	OUTER	519	2	Axolotl health	/health/fungal-infections-saprolegnia; /health/impaction-symptoms-treatment; /health/parasite-treatment; /health/red-leg-syndrome
/health/fridging-sick-axolotl	When and How to Fridge a Sick Axolotl | Axolotl Care Guide	health	procedural	procedural	treatment	CORE	2989	4	Axolotl health	/health/black-tea-bath; /health/fungal-infections-saprolegnia
/health/fungal-infections-saprolegnia	How to Identify and Treat Axolotl Fungus | Axolotl Care Guide	health	diagnostic	diagnostic	disease	CORE	1791	10	Axolotl health	/health/black-tea-bath; /health/fridging-sick-axolotl; /health/salt-bath
/health/impaction-symptoms-treatment	Axolotl Impaction: Symptoms, Causes & Treatment	health	diagnostic	diagnostic	digestive	CORE	537	2	Axolotl health	/diet/overfeeding-and-impaction; /health/fridging-sick-axolotl; /health/refusing-to-eat; /tank-setup/substrate-and-impaction
/health/limb-regeneration	How Axolotl Limb Regeneration Works & What to Expect	health	explanatory	informational	regeneration	ADJACENT	860	3	Axolotl health	/health/fungal-infections-saprolegnia; /health/minor-scrapes-and-wounds
/health/malnutrition-signs	Signs of Malnutrition in Axolotls | Axolotl Care Guide	health	diagnostic	diagnostic	nutrition	CORE	1923	3	Axolotl health	/diet/vitamin-and-supplement-needs; /health/refusing-to-eat
/health/minor-scrapes-and-wounds	Treating Minor Axolotl Scrapes & Wounds: What to Do	health	procedural	procedural	treatment	CORE	933	2	Axolotl health	/health/fungal-infections-saprolegnia; /health/limb-regeneration; /health/salt-bath
/health/parasite-treatment	Treating Axolotl Parasites | Axolotl Care Guide	health	diagnostic	diagnostic	disease	CORE	1563	2	Axolotl health	/diet/live-vs-frozen-food; /health/fungal-infections-saprolegnia; /health/malnutrition-signs; /health/quarantine-tub; /tank-setup/water-parameters-cycling
/health/quarantine-tub	Axolotl Hospital Quarantine Tub: Setup & Care	health	procedural	procedural	treatment	CORE	1024	5	Axolotl health	/health/fungal-infections-saprolegnia; /health/red-leg-syndrome; /health/refusing-to-eat
/health/red-leg-syndrome	Axolotl Red Leg Disease: Signs, Treatment & Prevention	health	diagnostic	diagnostic	disease	CORE	999	3	Axolotl health	/health/finding-an-exotic-vet; /health/fungal-infections-saprolegnia; /health/quarantine-tub
/health/refusing-to-eat	Why Is My Axolotl Refusing to Eat? 12… | Axolotl Care Guide	health	diagnostic	diagnostic	appetite	CORE	3347	11	Axolotl health	/diet/overfeeding-and-impaction; /health/malnutrition-signs
/health/salt-bath	Axolotl Salt Baths: Treating Fungal… | Axolotl Care Guide	health	procedural	procedural	treatment	CORE	2277	3	Axolotl health	/health/black-tea-bath; /health/fungal-infections-saprolegnia
/health/shrinking-gills	Why Are My Axolotl's Gills Shrinking? Causes & Fixes	health	diagnostic	diagnostic	gill size	CORE	1076	2	Axolotl health	/health/curled-gills-stress-signal; /tank-setup/temperature; /tank-setup/water-parameters-cycling
/health/stress-signs	Axolotl Stress Signs: Curled Gills, Floating & How to Fix It	health	diagnostic	diagnostic	behavior	CORE	576	2	Axolotl health	/health/curled-gills-stress-signal; /health/refusing-to-eat; /health/why-axolotl-floating; /tank-setup/water-parameters-cycling
/health/why-axolotl-floating	Why Is My Axolotl Floating? Causes and… | Axolotl Care Guide	health	diagnostic	diagnostic	behavior	CORE	1588	3	Axolotl health	/health/refusing-to-eat; /tank-setup/water-parameters-cycling
/legal	Is It Legal to Own an Axolotl? Laws by State & Country (2026)	legal	hub	navigational	legality	OUTER	None	124	Axolotl legality	/legal/california; /legal/canada; /legal/hawaii; /legal/maine; /legal/new-jersey; /legal/new-mexico; /legal/virginia
/legal/california	Are Axolotls Legal in California? Laws & Permits (2026)	legal	location-specific	location-specific	legality	OUTER	726	7	Axolotl legality	/axolotls/care-guide; /legal/canada; /legal/new-jersey; /legal/virginia
/legal/canada	Are Axolotls Legal in Canada? Import Rules by Province (2026)	legal	location-specific	location-specific	legality	OUTER	652	5	Axolotl legality	/axolotls/care-guide; /legal/california; /legal/maine; /legal/virginia
/legal/hawaii	Are Axolotls Legal in Hawaii? Import Rules Explained (2026)	legal	location-specific	location-specific	legality	OUTER	557	2	Axolotl legality	/legal/california; /legal/canada; /legal/maine
/legal/maine	Are Axolotls Legal in Maine? Permit Rules Explained (2026)	legal	location-specific	location-specific	legality	OUTER	598	5	Axolotl legality	/legal/california; /legal/canada; /legal/hawaii; /legal/virginia
/legal/new-jersey	Are Axolotls Legal in New Jersey? Laws Explained (2026)	legal	location-specific	location-specific	legality	OUTER	991	3	Axolotl legality	/legal/california; /legal/canada; /legal/virginia
/legal/new-mexico	Are Axolotls Legal in New Mexico? Import Permit (2026)	legal	location-specific	location-specific	legality	OUTER	951	2	Axolotl legality	/legal/california; /legal/maine; /legal/virginia
/legal/virginia	Are Axolotls Legal in Virginia? Laws Explained (2026)	legal	location-specific	location-specific	legality	OUTER	927	6	Axolotl legality	/legal/california; /legal/maine; /legal/new-jersey; /legal/new-mexico
/morphs	Axolotl Morphs: Colors, Types & Genetics Explained	morphs	hub	navigational	morph	ADJACENT	None	124	Axolotl morph (color/phenotype)	/morphs/blue-and-pink-axolotl-myth; /morphs/chimera; /morphs/copper; /morphs/enigma-firefly-mac; /morphs/gfp-axolotl; /morphs/golden-albino; /morphs/leucistic; /morphs/melanoid; /morphs/morphs-comparison-chart; /morphs/mosaic; /morphs/piebald; /morphs/pigment-cells; /morphs/wild-type
/morphs/blue-and-pink-axolotl-myth	Blue and Pink Axolotls: The Myth Explained (No Blue Morph Exists)	morphs	explanatory	definitional	color	ADJACENT	512	2	Axolotl morph (color/phenotype)	/morphs/leucistic; /morphs/morphs-comparison-chart; /morphs/wild-type
/morphs/chimera	Chimera Axolotl: The Rarest Morph, Explained	morphs	explanatory	definitional	morph	ADJACENT	818	6	Axolotl morph (color/phenotype)	/breeding/color-genetics-punnett-squares; /morphs/enigma-firefly-mac; /morphs/mosaic; /morphs/wild-type
/morphs/copper	Copper Axolotl: Color, Genetics & How to Breed Them	morphs	explanatory	definitional	morph	ADJACENT	558	2	Axolotl morph (color/phenotype)	/breeding/breeding-triggers-temperature-cycling; /breeding/color-genetics-punnett-squares; /breeding/egg-and-larvae-care; /morphs/pigment-cells
/morphs/enigma-firefly-mac	Enigma, MAC & Firefly Axolotls: Rare Morphs and the Ethics Debate	morphs	explanatory	definitional	morph	ADJACENT	618	3	Axolotl morph (color/phenotype)	/morphs/chimera; /morphs/leucistic; /morphs/pigment-cells
/morphs/gfp-axolotl	What Is a GFP Axolotl? Care, Setup & Why They Glow	morphs	explanatory	definitional	morph	ADJACENT	566	2	Axolotl morph (color/phenotype)	/morphs/golden-albino; /morphs/leucistic
/morphs/golden-albino	Golden Albino Axolotl: Genetics, Price & Care Guide	morphs	explanatory	definitional	morph	ADJACENT	535	3	Axolotl morph (color/phenotype)	/breeding/color-genetics-punnett-squares; /morphs/gfp-axolotl; /morphs/leucistic
/morphs/leucistic	Leucistic Axolotl: Color, Genetics & How to Spot a Dirty Lucy	morphs	explanatory	definitional	morph	ADJACENT	611	10	Axolotl morph (color/phenotype)	/breeding/color-genetics-punnett-squares; /cost-and-buying/axolotl-price-by-morph; /morphs/blue-and-pink-axolotl-myth; /morphs/golden-albino; /morphs/melanoid; /morphs/wild-type
/morphs/melanoid	Melanoid Axolotl: Genetics & How to Identify One	morphs	explanatory	definitional	morph	ADJACENT	626	3	Axolotl morph (color/phenotype)	/morphs/leucistic; /morphs/pigment-cells; /morphs/wild-type
/morphs/morphs-comparison-chart	Axolotl Morphs Comparison Chart: All Colors at a Glance	morphs	comparative	comparative	morph	ADJACENT	466	3	Axolotl morph (color/phenotype)	/cost-and-buying/axolotl-price-by-morph; /morphs/leucistic; /morphs/wild-type
/morphs/mosaic	Mosaic Axolotl: The Patchy Rare Morph, Explained	morphs	explanatory	definitional	morph	ADJACENT	588	2	Axolotl morph (color/phenotype)	/morphs/chimera; /morphs/morphs-comparison-chart; /morphs/piebald
/morphs/piebald	Piebald Axolotl: Genetics, Price & How It's Different	morphs	explanatory	definitional	morph	ADJACENT	587	2	Axolotl morph (color/phenotype)	/breeding/color-genetics-punnett-squares; /morphs/chimera; /morphs/leucistic; /morphs/wild-type
/morphs/pigment-cells	Axolotl Pigment Cells: Chromatophores, Melanophores & More	morphs	explanatory	informational	pigment	ADJACENT	588	4	Axolotl morph (color/phenotype)	/breeding/color-genetics-punnett-squares; /morphs/copper; /morphs/enigma-firefly-mac; /morphs/melanoid
/morphs/wild-type	Wild Type Axolotl: Color, Genetics & How to Identify One	morphs	explanatory	definitional	morph	ADJACENT	881	9	Axolotl morph (color/phenotype)	/breeding/color-genetics-punnett-squares; /cost-and-buying/axolotl-price-by-morph; /morphs/chimera; /morphs/leucistic
/privacy	Privacy Policy	meta	supporting	navigational	-	FUNCTIONAL	None	124	Axolotl guide site	-
/search	Search Axolotl Guides	meta	tool	tool/calculator	search	FUNCTIONAL	None	124	Axolotl guide site	-
