url	title	cluster	role	primary_intent	primary_attribute	border	words	content_in
/biology-and-science/neoteny	What Is Neoteny? Why Axolotls Never Grow Up	biology-and-science	explanatory	definitional	development	ADJACENT	495	6
/biology-and-science/regeneration-and-limb-regrowth	Axolotl Regeneration: How They Regrow Limbs & Body Parts	biology-and-science	explanatory	informational	regeneration	ADJACENT	629	3
/biology-and-science/wild-habitat-xochimilco	Axolotl Habitat: Life in Xochimilco, Mexico City	biology-and-science	explanatory	informational	habitat	ADJACENT	627	4
/breeding	How to Breed Axolotls: Complete Breeding Guide (2026)	breeding	hub	navigational	breeding	ADJACENT	None	124
/breeding/breeding-triggers-temperature-cycling	How to Trigger Axolotl Breeding: Temperature & Light Cycling	breeding	procedural	procedural	breeding	ADJACENT	800	4
/breeding/color-genetics-punnett-squares	Axolotl Color Genetics: Punnett Squares Explained	breeding	explanatory	informational	genetics	ADJACENT	852	9
/breeding/egg-and-larvae-care	Axolotl Egg Care: Hatching Time, Setup & Feeding Larvae	breeding	procedural	procedural	larvae	ADJACENT	836	5
/breeding/genetics-and-inbreeding	Axolotl Genetics & Inbreeding Risk: What Breeders Must Know	breeding	explanatory	informational	genetics	ADJACENT	631	3
/breeding/raising-juveniles	Raising Baby Axolotls: Feeding, Growth & Rehoming Juveniles	breeding	procedural	procedural	juveniles	ADJACENT	832	4
/breeding/sexing-axolotls	How to Tell Axolotl Gender: Male vs Female Cloaca Guide	breeding	procedural	procedural	sex	ADJACENT	608	2
/care-basics	Axolotl Care Basics: Facts, Behavior & Beginner Tips	care-basics	hub	navigational	ownership	CORE	None	124
/care-basics/are-axolotls-good-beginner-pets	Are Axolotls Good Pets for Beginners? Honest Pros & Cons	care-basics	explanatory	definitional	suitability	CORE	1028	5
/care-basics/axolotl-age-and-size-chart	Axolotl Age & Size Chart: How Big They Get at Every Stage	care-basics	explanatory	definitional	growth	CORE	1030	2
/care-basics/axolotl-facts	Axolotl Facts: 25 Amazing Things You Need to Know (2026)	care-basics	explanatory	informational	species	CORE	1047	4
/care-basics/axolotl-intelligence-and-bonding	Do Axolotls Recognize Their Owners? Bonding & Intelligence	care-basics	explanatory	informational	behavior	CORE	1016	2
/care-basics/axolotls-and-children	Are Axolotls Good Pets for Kids? What Parents Must Know	care-basics	explanatory	definitional	suitability	CORE	986	3
/care-basics/behavior	Axolotl Behavior Explained: What Every Owner Should Know	care-basics	diagnostic	problem-solving	behavior	CORE	895	3
/care-basics/cost-of-ownership-monthly	Axolotl Monthly Cost: Budget for Food, Water & Supplies (2026)	care-basics	transactional	transactional	cost	OUTER	830	3
/care-basics/handling	How to Hold an Axolotl: Safe Handling, Netting & Transport	care-basics	procedural	procedural	handling	CORE	798	3
/care-basics/how-to-pronounce-axolotl	How to Pronounce Axolotl: Correct Way & Common Mistakes	care-basics	explanatory	definitional	language	PERIPHERAL	524	2
/care-basics/keeping-multiple-axolotls	Can Axolotls Live Together? Housing Multiple Axolotls Safely	care-basics	explanatory	informational	housing	CORE	712	3
/contact	Contact	meta	supporting	navigational	-	FUNCTIONAL	None	124
/cost-and-buying	Axolotl Cost: Price, Monthly Budget & Where to Buy (2026)	cost-and-buying	hub	navigational	cost	OUTER	None	124
/cost-and-buying/axolotl-price-by-morph	Axolotl Price by Morph: Cost Guide for Every Color (2026)	cost-and-buying	transactional	transactional	cost	OUTER	544	6
/cost-and-buying/breeder-vs-pet-store	Axolotl Breeder vs Pet Store: Where to Buy (2026)	cost-and-buying	comparative	comparative	source	OUTER	502	4
/cost-and-buying/choosing-a-reputable-breeder	How to Choose an Axolotl Breeder: 12 Questions to Ask	cost-and-buying	transactional	transactional	source	OUTER	670	4
/cost-and-buying/how-to-choose-a-healthy-axolotl	How to Choose a Healthy Axolotl: Signs to Check Before Buying	cost-and-buying	procedural	procedural	source	OUTER	549	4
/cost-and-buying/red-flags-when-buying	Axolotl Seller Red Flags: How to Spot Scams and Bad Breeders	cost-and-buying	transactional	transactional	source	OUTER	552	3
/cost-and-buying/shipping-live-axolotls	How Are Axolotls Shipped: What to Expect	cost-and-buying	procedural	procedural	shipping	OUTER	524	2
/diet	Axolotl Food: What to Feed & How Often	diet	hub	navigational	diet	CORE	None	124
/diet/axolotl-pellets	Best Axolotl Pellets and Commercial Foods | Axolotl Care Guide	diet	comparative	comparative	food	CORE	2956	2
/diet/beef-heart	Can Axolotls Eat Beef Heart? | Axolotl Care Guide	diet	explanatory	definitional	food	CORE	1585	2
/diet/best-foods-list	What Do Axolotls Eat? The Complete Diet… | Axolotl Care Guide	diet	explanatory	informational	food	CORE	3041	8
/diet/blackworms-for-juveniles	Preparing Blackworms for Juvenile Axolotls | Axolotl Care Guide	diet	procedural	procedural	food	OUTER	1380	2
/diet/fasting-and-vacation	How Long Can Axolotls Fast? | Axolotl Care Guide	diet	procedural	procedural	feeding	OUTER	2457	2
/diet/feeder-fish-risks	The Risks of Feeding Feeder Fish to… | Axolotl Care Guide	diet	explanatory	problem-solving	food	CORE	3702	5
/diet/feeding-schedule-by-age	Axolotl Feeding Frequency by Life Stage… | Axolotl Care Guide	diet	procedural	procedural	feeding	CORE	1763	8
/diet/how-to-hand-feed	How to Hand Feed Your Axolotl Safely | Axolotl Care Guide	diet	procedural	procedural	feeding	CORE	2442	2
/diet/live-vs-frozen-food	Earthworms vs. Bloodworms: Which Is… | Axolotl Care Guide	diet	comparative	comparative	food	CORE	2493	5
/diet/overfeeding-and-impaction	Axolotl Obesity: Signs, Causes… | Axolotl Care Guide	diet	diagnostic	problem-solving	feeding	CORE	2891	6
/diet/shrimp-for-axolotls	Can Axolotls Eat Shrimp? | Axolotl Care Guide	diet	explanatory	definitional	food	CORE	2209	2
/diet/vitamin-and-supplement-needs	Do Axolotls Need Vitamin Supplements? A… | Axolotl Care Guide	diet	explanatory	informational	nutrition	CORE	1023	2
/gifts-and-merch	Axolotl Toy & Gifts: Plushies, Squishmallows, Apparel & More	gifts-and-merch	hub	navigational	merch	PERIPHERAL	None	124
/gifts-and-merch/axolotl-squishmallow-guide	Every Axolotl Squishmallow: Archie, Sizes & How to Buy	gifts-and-merch	transactional	transactional	merch	PERIPHERAL	807	4
/gifts-and-merch/best-axolotl-lego-sets	LEGO Axolotl Sets: Minecraft The Axolotl House Explained	gifts-and-merch	transactional	transactional	merch	PERIPHERAL	610	2
/gifts-and-merch/best-axolotl-toys-and-plushies	Best Axolotl Toys & Plushies: Stuffed Animals & More (2026)	gifts-and-merch	transactional	transactional	merch	PERIPHERAL	979	5
/gifts-and-merch/build-a-bear-axolotl-guide	Build-A-Bear Axolotl: Every Model, Price & How to Customize	gifts-and-merch	transactional	transactional	merch	PERIPHERAL	653	3
/health	Axolotl Health Problems: Symptoms & Treatment	health	hub	navigational	health	CORE	None	124
/health/ammonia-burns	Axolotl Ammonia Burn: Signs, Stages & Treatment	health	diagnostic	diagnostic	gill/skin damage	CORE	951	2
/health/black-tea-bath	Black Tea Bath for Axolotls… | Axolotl Care Guide	health	procedural	procedural	treatment	CORE	2657	4
/health/curled-gills-stress-signal	Curled Axolotl Gills & Tail Tip: Stress Signals & Fixes	health	diagnostic	diagnostic	gill posture	CORE	1061	5
/health/finding-an-exotic-vet	How to Find an Axolotl Vet: What to Look For & How Much It Costs	health	transactional	transactional	veterinary	OUTER	519	2
/health/fridging-sick-axolotl	When and How to Fridge a Sick Axolotl | Axolotl Care Guide	health	procedural	procedural	treatment	CORE	2989	4
/health/fungal-infections-saprolegnia	How to Identify and Treat Axolotl Fungus | Axolotl Care Guide	health	diagnostic	diagnostic	disease	CORE	1791	10
/health/impaction-symptoms-treatment	Axolotl Impaction: Symptoms, Causes & Treatment	health	diagnostic	diagnostic	digestive	CORE	537	2
/health/limb-regeneration	How Axolotl Limb Regeneration Works & What to Expect	health	explanatory	informational	regeneration	ADJACENT	860	3
/health/malnutrition-signs	Signs of Malnutrition in Axolotls | Axolotl Care Guide	health	diagnostic	diagnostic	nutrition	CORE	1923	3
/health/minor-scrapes-and-wounds	Treating Minor Axolotl Scrapes & Wounds: What to Do	health	procedural	procedural	treatment	CORE	933	2
/health/parasite-treatment	Treating Axolotl Parasites | Axolotl Care Guide	health	diagnostic	diagnostic	disease	CORE	1563	2
/health/quarantine-tub	Axolotl Hospital Quarantine Tub: Setup & Care	health	procedural	procedural	treatment	CORE	1024	5
/health/red-leg-syndrome	Axolotl Red Leg Disease: Signs, Treatment & Prevention	health	diagnostic	diagnostic	disease	CORE	999	3
/health/refusing-to-eat	Why Is My Axolotl Refusing to Eat? 12… | Axolotl Care Guide	health	diagnostic	diagnostic	appetite	CORE	3347	11
/health/salt-bath	Axolotl Salt Baths: Treating Fungal… | Axolotl Care Guide	health	procedural	procedural	treatment	CORE	2277	3
/health/shrinking-gills	Why Are My Axolotl's Gills Shrinking? Causes & Fixes	health	diagnostic	diagnostic	gill size	CORE	1076	2
/health/stress-signs	Axolotl Stress Signs: Curled Gills, Floating & How to Fix It	health	diagnostic	diagnostic	behavior	CORE	576	2
/health/why-axolotl-floating	Why Is My Axolotl Floating? Causes and… | Axolotl Care Guide	health	diagnostic	diagnostic	behavior	CORE	1588	3
/legal	Is It Legal to Own an Axolotl? Laws by State & Country (2026)	legal	hub	navigational	legality	OUTER	None	124
/legal/california	Are Axolotls Legal in California? Laws & Permits (2026)	legal	location-specific	location-specific	legality	OUTER	726	7
/legal/canada	Are Axolotls Legal in Canada? Import Rules by Province (2026)	legal	location-specific	location-specific	legality	OUTER	652	5
/legal/hawaii	Are Axolotls Legal in Hawaii? Import Rules Explained (2026)	legal	location-specific	location-specific	legality	OUTER	557	2
/legal/maine	Are Axolotls Legal in Maine? Permit Rules Explained (2026)	legal	location-specific	location-specific	legality	OUTER	598	5
/legal/new-jersey	Are Axolotls Legal in New Jersey? Laws Explained (2026)	legal	location-specific	location-specific	legality	OUTER	991	3
/legal/new-mexico	Are Axolotls Legal in New Mexico? Import Permit (2026)	legal	location-specific	location-specific	legality	OUTER	951	2
/legal/virginia	Are Axolotls Legal in Virginia? Laws Explained (2026)	legal	location-specific	location-specific	legality	OUTER	927	6
/morphs	Axolotl Morphs: Colors, Types & Genetics Explained	morphs	hub	navigational	morph	ADJACENT	None	124
/morphs/blue-and-pink-axolotl-myth	Blue and Pink Axolotls: The Myth Explained (No Blue Morph Exists)	morphs	explanatory	definitional	color	ADJACENT	512	2
/morphs/chimera	Chimera Axolotl: The Rarest Morph, Explained	morphs	explanatory	definitional	morph	ADJACENT	818	6
/morphs/copper	Copper Axolotl: Color, Genetics & How to Breed Them	morphs	explanatory	definitional	morph	ADJACENT	558	2
/morphs/enigma-firefly-mac	Enigma, MAC & Firefly Axolotls: Rare Morphs and the Ethics Debate	morphs	explanatory	definitional	morph	ADJACENT	618	3
/morphs/gfp-axolotl	What Is a GFP Axolotl? Care, Setup & Why They Glow	morphs	explanatory	definitional	morph	ADJACENT	566	2
/morphs/golden-albino	Golden Albino Axolotl: Genetics, Price & Care Guide	morphs	explanatory	definitional	morph	ADJACENT	535	3
/morphs/leucistic	Leucistic Axolotl: Color, Genetics & How to Spot a Dirty Lucy	morphs	explanatory	definitional	morph	ADJACENT	611	10
/morphs/melanoid	Melanoid Axolotl: Genetics & How to Identify One	morphs	explanatory	definitional	morph	ADJACENT	626	3
/morphs/morphs-comparison-chart	Axolotl Morphs Comparison Chart: All Colors at a Glance	morphs	comparative	comparative	morph	ADJACENT	466	3
/morphs/mosaic	Mosaic Axolotl: The Patchy Rare Morph, Explained	morphs	explanatory	definitional	morph	ADJACENT	588	2
/morphs/piebald	Piebald Axolotl: Genetics, Price & How It's Different	morphs	explanatory	definitional	morph	ADJACENT	587	2
/morphs/pigment-cells	Axolotl Pigment Cells: Chromatophores, Melanophores & More	morphs	explanatory	informational	pigment	ADJACENT	588	4
/morphs/wild-type	Wild Type Axolotl: Color, Genetics & How to Identify One	morphs	explanatory	definitional	morph	ADJACENT	881	9
/privacy	Privacy Policy	meta	supporting	navigational	-	FUNCTIONAL	None	124
/search	Search Axolotl Guides	meta	tool	tool/calculator	search	FUNCTIONAL	None	124
/tank-setup	Axolotl Tank Setup Guide: Size, Filter, Substrate, Water	tank-setup	hub	navigational	tank	CORE	None	125
/tank-setup/acclimating-a-new-axolotl	How to Acclimate a New Axolotl: Step-by-Step	tank-setup	procedural	procedural	acclimation	CORE	639	2
/tank-setup/aquarium-chillers	Best Aquarium Chillers for Axolotls | Axolotl Care Guide	tank-setup	comparative	comparative	temperature	PERIPHERAL	2699	5
/tank-setup/canister-vs-sponge-filter	Canister Filters vs. Sponge Filters for… | Axolotl Care Guide	tank-setup	comparative	comparative	filtration	CORE	6117	2
/tank-setup/filtration-for-axolotls	Best Filter for Axolotl Tanks: Types… | Axolotl Care Guide	tank-setup	comparative	comparative	filtration	CORE	4274	4
/tank-setup/gravel-risks	The Dangers of Sharp Gravel for Axolotls | Axolotl Care Guide	tank-setup	explanatory	problem-solving	substrate	CORE	2647	3
/tank-setup/hides-and-caves	Best Hides and Caves for Axolotls | Axolotl Care Guide	tank-setup	comparative	comparative	decor	PERIPHERAL	4355	3
/tank-setup/lighting-for-axolotls	Axolotl Tank Lighting Requirements | Axolotl Care Guide	tank-setup	explanatory	informational	lighting	CORE	4075	4
/tank-setup/live-vs-artificial-plants	Live Plants vs. Fake Plants for Axolotl… | Axolotl Care Guide	tank-setup	comparative	comparative	decor	PERIPHERAL	3125	3
/tank-setup/setup-guide	How to Set Up an Axolotl Tank the Right… | Axolotl Care Guide	tank-setup	procedural	procedural	tank	CORE	2869	9
/tank-setup/substrate-and-impaction	Choosing the Best Axolotl Substrate | Axolotl Care Guide	tank-setup	explanatory	informational	substrate	CORE	4029	5
/tank-setup/tank-mates	Can Axolotls Live with Fish? Tank-Mates, Explained	tank-setup	explanatory	informational	housing	CORE	601	2
/tank-setup/tank-size-by-age	Axolotl Tank Size by Age: How Big of a Tank Do You Need?	tank-setup	explanatory	definitional	size	CORE	500	3
/tank-setup/temperature	How to Keep an Axolotl Tank Cool | Axolotl Care Guide	tank-setup	procedural	procedural	temperature	CORE	5826	5
/tank-setup/uneaten-food-and-ammonia	Why Uneaten Food Causes Ammonia in an… | Axolotl Care Guide	tank-setup	explanatory	problem-solving	ammonia	CORE	2449	3
/tank-setup/water-conditioners	Axolotl Water Conditioner: Creating Safe… | Axolotl Care Guide	tank-setup	procedural	procedural	water	CORE	4417	3
/tank-setup/water-parameters-cycling	Managing Ammonia and Nitrate Spikes in… | Axolotl Care Guide	tank-setup	explanatory	informational	water	CORE	4924	15
/tank-setup/why-tank-water-smells	Why Does My Axolotl Tank Water Stink? | Axolotl Care Guide	tank-setup	diagnostic	problem-solving	water	CORE	2074	2
/tools	Axolotl Tools & Calculators	tools	tool	tool/calculator	tools	FUNCTIONAL	None	124
/tools/feeding-schedule-generator	Axolotl Feeding Schedule Generator	tools	tool	tool/calculator	feeding	OUTER	None	125
/tools/nitrogen-cycle-tracker	Axolotl Nitrogen Cycle Tracker — Free Tank Cycling Progress Tool	tools	tool	tool/calculator	water	OUTER	None	125
/tools/symptom-checker	Axolotl Symptom Checker	tools	tool	tool/calculator	health	OUTER	None	125
/tools/tank-size-calculator	Axolotl Tank Size Calculator	tools	tool	tool/calculator	size	OUTER	None	125
/tools/water-conditioner-dosage-calculator	Axolotl Water Conditioner Dosage Calculator | Precise Dosing for Healthy Axolotls	tools	tool	tool/calculator	water	OUTER	None	125
